Original_Review,측면 및 감성 추출,label
"거게 인테리어가 따뜻하고 포근한 느낌이라 넘 맘에 들었어요! 편하게 지인들과 대화하기 좋은 공간입니다","공간편의시설(긍정), 분위기감성(긍정)",000000110000
"분위기도 좋구요 음료 종류도 다양해서 좋았어요!! 데이트코스로 추천드리는 곳이에요","커피음료(긍정), 분위기감성(긍정)",100000010000
"빵이 어마어마 하죠 커피도 테이크아웃이면 2천원할인 이만한 가성비가 더 있을까..?","커피음료(긍정), 베이커리빵(긍정), 가격가성비(긍정)",110000000100
"아메리카노랑 베이킹냄새가 죽여요","커피음료(긍정), 베이커리빵(긍정)",110000000000
"매장 자체도 넓고 컨셉츄얼하고 야외도 너무 잘 가꿔져있어 좋습니다. 브런치 메뉴도 특색있고 커피도 맛있어요","커피음료(긍정), 베이커리빵(긍정), 공간편의시설(긍정), 분위기감성(긍정)",110000110000
"성수 구경하다... 직접 로스팅한 원두라 확실히 첫모금 향이 달라요... 분위기도 좋고 음악도 좋은데","커피음료(긍정), 분위기감성(긍정)",100000010000
"비오는 날 감성있는 곳에서 밋있는 브런치 먹었네요 추석 전에 어머님과 좋은 추억 만들었어요","베이커리빵(긍정), 분위기감성(긍정)",010000010000
"처음 방문했는데 매장도 예쁘고 치즈베이글 맛있게 먹었어요!","베이커리빵(긍정), 분위기감성(긍정)",010000010000
"넘넘 분위기가 좋고 친절해요","분위기감성(긍정), 서비스(긍정)",000000011000
"디저트도 맛있고, 여기서 스트로베리 치즈 케이크 사갔는데 정말 맛있습니다!","케이크(긍정), 선물포장(긍정)",001000000010
"소금빵 맛있어요 포장도 귀여워요","베이커리빵(긍정), 선물포장(긍정)",010000000010
"커피는 맛있는데 지도만 보고 찾아가기엔 헤매는 신기한 이곳...","커피음료(긍정), 공간편의시설(부정)",100000200000
"찐맛집 많은이용부탁드립니다!!","대상 모호(없음)",000000000000
"핫한 성수동 카페 넘넘 맛있자나용 크레커 솔드아웃 실화? 담에 빨리와야겠어요","쿠키구움과자(긍정), 혼잡도_웨이팅(부정)",000100000002
"반 지하층에서 에그타르트를 만들고 있네요... 페스츄리라 겉은 정말 바삭하고 필링도 부드럽고 맛있네요.","쿠키구움과자(긍정), 공간편의시설(긍정), 선물포장(긍정)",000100100010
"맛있을 것 같아요. 행사 할 때 가 보세요.","대상 모호(없음)",000000000000
"베트남에서 먹은 망고랑 맛이 정말 흡사해요... 야쿠르트 슬러시도 넘 맛있었구 특히 빙수가 이 가격에 이런 맛은 정말 말도 안 될 정도로 놀라웠어요!!","커피음료(긍정), 빙수과일(긍정), 가격가성비(긍정)",100010000100
"우연히 들어갔는데 크로플도 도톰하니 맛있고 좌석도 편해요!","기타디저트(긍정), 공간편의시설(긍정)",000001100000
"뷰도 좋고 공간도 깔끔해서 대화 나누기도 조을 것 같습니당 복숭아빙수도 여름에 시원하게 먹기 딱 조은 것 같아요","빙수과일(긍정), 공간편의시설(긍정), 분위기감성(긍정)",000010110000
"매장이 넓고 쾌적해요! 내부에 화장실이 있어서 좋아요)","공간편의시설(긍정)",000000100000
"넘나 이쁜 뷰 라떼 맛도 비싼 만큼 맛나네요","커피음료(긍정), 분위기감성(긍정), 가격가성비(중립)",100000010300
"음료도 너무 마싯고 케이크도 너무 맛있어요!! 분위기나 색감도 너무 취향이라 좋은 시간 보내고 가요!!","커피음료(긍정), 케이크(긍정), 분위기감성(긍정)",101000010000
"분위기 좋고 커피도 맛있어요 가끔 원두도 사서먹어요","커피음료(긍정), 분위기감성(긍정)",100000010000
"잠봉뵈르 한입먹고 또 예약했어요. 진짜 인생 빵집","베이커리빵(긍정)",010000000000
"찾기가 쪼금 힘들었지만 소파 디저트 하나 보고 왔습니다... 귀여움과 맛이 비례해서 멀리서 찾아 온 보람이 있었습니다","기타디저트(긍정), 공간편의시설(부정)",000001200000
"라떼 고소하고 베이글이 맛있어요 공간이 쾌적하고 시원해서 좋아오","커피음료(긍정), 베이커리빵(긍정), 공간편의시설(긍정)",110000100000
"휴가나온 아들이 좋아해서... 넘 쫄깃하고 담백하니 한없이 먹을수 있는빵인데 멀어서 자주못와 아쉽지만","베이커리빵(긍정), 혼잡도_웨이팅(긍정)",010000000001
"주문시 여사장님 재촉하시는 말투 조금 무서웠어요","서비스(부정)",000000002000
"커피도 너무 맛있고 무엇보다 초코라떼 비주얼도 너무 예쁘고 달달하니 맛있어용! 베이글은 말모 입니당!!!!","커피음료(긍정), 베이커리빵(긍정)",110000000000
"분위기도 너무 좋고 가을에 데이트하기 너무 좋은 장소입니다!! 맛도 너무 좋아요","분위기감성(긍정)",000000010000
"너무너무 예쁜카페 잘 쉬다 갑니다","분위기감성(긍정)",000000010000
"사람이 늘 많아요. 북적북적","혼잡도_웨이팅(부정)",000000000002
"매장 사장님이 너무 친절하시고 모찌도 너무 맛있어서 여기밖에 안가는 것 같아요","기타디저트(긍정), 서비스(긍정)",000001001000
"딸기케이크를 먹고자 네모네를 찾았는데 맛있게 잘 먹었어요","케이크(긍정)",001000000000
"조용하고 분위기가 너무 좋아요 성수동에 시끄럽지 않고 답답하지 않은 커피 맛집을 찾으시면 추천해요!","커피음료(긍정), 분위기감성(긍정)",100000010000
"커피를 못마시는 바람에 시그니처들을 못마셔봐서 아쉬웠어요","대상 모호(없음)",000000000000
"꼬소한 원두 좋아하시는 분들 정말 강추해요... 성수 뚝섬 근방에서 탑쓰리안에 들어요","커피음료(긍정)",100000000000
"브런치로 먹기에 메뉴도 너무 좋고 분위기도 좋아서 앞으로 자주 올 것 같아요 음식도 너무 맛있고 음료도 찰떡으로 잘 어울려서 잘 먹었습니다","베이커리빵(긍정), 분위기감성(긍정)",010000010000
"피스타치오 크롸상, 캄빠뉴무화과 넘 맛있어요","베이커리빵(긍정)",010000000000
"포장 웨이팅 10분하고 주문하고 10분 더 기다렸어요 가게가 좁은데 비해 마땅히 기다릴 곳이 없어서 불편했습니다","공간편의시설(부정), 혼잡도_웨이팅(부정)",000000200002
"커피원두도 고를수있고 커피도맛있어요 디저트도맛있고 잔잔한노래도 너무좋네요 이쪽오면 또와봐야겠어요","커피음료(긍정), 기타디저트(긍정), 분위기감성(긍정)",100001010000
"성수나들이커피맛도 굿 분위기도 직원들도 너무 친절하셔서 즐거운시간 보내고 갑니다","커피음료(긍정), 분위기감성(긍정), 서비스(긍정)",100000011000
"시나몬페이스트리 맛있어요. 근데 포장이 너무 엉성해요. 재활용도 안되는 잉크 묻어나는 큰 종이봉투에 그냥 바로 빵하나 딱 넣어주는게 좋지 않았어요.","베이커리빵(긍정), 선물포장(부정)",010000000020
"말차카페에서 말차를 못먹어 봤네요 담번에는 꼭 슈퍼말차 도전 커피는 진하고 괜찮았어요","커피음료(긍정)",100000000000
"빵도 맛있고 커피도 선택 가능해서 좋아요 분위기도 좋고 2층 테라스도 있어서 좋아요","커피음료(긍정), 베이커리빵(긍정), 공간편의시설(긍정), 분위기감성(긍정)",110000110000
"빵 맛있고 직원이 친절해요 카페 분위기도좋아요","베이커리빵(긍정), 분위기감성(긍정), 서비스(긍정)",010000011000
"힐링공간.. 바람이 솨아아 불어서 나무가 흔들리는 장면이 기억에 남습니다. 다만 공간 내부에 함께 이용하시는 분 운이 잘 따라주면 더 좋은 경험 가능할 것 같아요!","분위기감성(긍정), 혼잡도_웨이팅(중립)",000000010003
"새로오픈햇다고 해서 와봤는데 분위기 좋고 깔끔해요! 땅콩잼 좋아해서 입맛에 잘 맞아요","베이커리빵(긍정), 분위기감성(긍정)",010000010000
"말차 쿠키랑 시나몬라떼, 얼그레이 밀크티 진짜 맛있어요","커피음료(긍정), 쿠키구움과자(긍정)",100100000000
"인테리어도 너무 깔끔하고 예뻐서 기억에 남았었는데 생각보다 빵들도 갈 때마다 다 맛있어서 성수 갈 일 있으면 자주 들립니다!","베이커리빵(긍정), 공간편의시설(긍정), 분위기감성(긍정)",010000110000
"분위기나 맛 다 좋았어요근데 너무 비싸긴해요가또쇼콜라 자그마한 케이크가 9천원..","케이크(긍정), 분위기감성(긍정), 가격가성비(부정)",001000010200
"엄청나게 큰 망고가 있고 너무 맛있게 먹었어요 더운날 빙수 맛집입니다","빙수과일(긍정)",000010000000
"고층에 도심속 차분한 노래가 흘러나와 조용하고 집중할수있는 분위기가 넘 좋았어요. 직원분들도 정말 친절하셨어요","분위기감성(긍정), 서비스(긍정)",000000011000
"맛도 좋고 날씨도 좋아서 테라스에서 먹는데 굿 오물렛 진짜 너무 맛있었어요 여행온 기분이였어요","베이커리빵(긍정), 분위기감성(긍정)",010000010000
"깻잎스무디가 신기해서 먹어봤는데 맛있었어요","커피음료(긍정)",100000000000
"바쁜 곳임에도 꽤 친절한 곳.","서비스(긍정), 혼잡도_웨이팅(부정)",000000001002
"너무 재밌게 잘 만들었습니다!! 친절하게 설명해주시고 만들기도 어렵지 않았어요.","서비스(긍정)",000000001000
"시그니처커피 양은 무지 적지만 맛있어요 상큼한데 커피랑 잘 어울리는게 묘한맛!! 이모지케이크 가격이 후덜덜 생일케잌으로 샀는데 맛은.. 진짜 진짜 맛있어요!!! 생크림과 딸기조합이 환상!! 케잌 상자가 엄청 단단하고 고급스러운데 그에비해 초는 작은거 하나 나무포크 나무칼을 주긴하지만 케잌에 비해 부실한느낌","커피음료(긍정), 케이크(긍정), 가격가성비(부정), 선물포장(중립)",101000000230
"일찍 오픈하셔서 브런치로 먹기 좋아요 더운 여름인데 매장이 시원합니다","공간편의시설(긍정)",000000100000
"인테리어 정말 예쁘고 데이트 코스로 추천합니다!","분위기감성(긍정)",000000010000
"너무 맛있어요!!!! 포장도 엄청 꼼꼼하게 잘해주셔서 녹지않고 잘 가져왔어요","기타디저트(긍정), 선물포장(긍정)",000001000010
"흑임자,쑥 고소한 빙수가 있어서 좋았구 가격도 합리적이라 다시 올 것 같아요!","빙수과일(긍정), 가격가성비(긍정)",000010000100
"빵도 맛있고 특별한 메뉴도 있고 인테리어도 멋지네요","베이커리빵(긍정), 분위기감성(긍정)",010000010000
"시나몬 향기에 이끌려 들어온곳 역시가 역시다 !!! 미니본 에그타르트 겟해서 서울숲으로 봄 만끽하러 갑니다","쿠키구움과자(긍정), 선물포장(긍정)",000100000010
"사장님 친절한 설명 와인도 맛있고 아이스크림도 너무 잘어울여요!!! 사진편하게 찍을수있게 조명이랑 조절해주시고","커피음료(긍정), 기타디저트(긍정), 분위기감성(긍정), 서비스(긍정)",100001011000
"직원분들도 엄청 친절하시고, 초코가 진짜 맛있는 것 같아요 !!","커피음료(긍정), 서비스(긍정)",100000001000
"프렌치 토스트가 진짜 퐁실퐁실해서 맛있어요 곁들인 바닐라 소스도 풍미가 있어서 잘 어울립니다!","베이커리빵(긍정)",010000000000
"인테리어 정말 예쁘고 디저트도 맛있어요! 강추!","기타디저트(긍정), 분위기감성(긍정)",000001010000
"커피랑 하이볼 같이 있어서 저녁시간에 방문하기 좋았어요! 바나나푸딩 사장님 추천으로 주문했는데 추천해주신 이유가 있네요","커피음료(긍정), 기타디저트(긍정)",100001000000
"매장은 넓고 쾌적한 편입니다. 디저트도 맛있고 커피도 깔끔하네요! 다만 직원분들이 그닥 친절하지는 않네요.","커피음료(긍정), 기타디저트(긍정), 공간편의시설(긍정), 서비스(부정)",100001102000
"이번엔 제가 지인 데리고 방문했는데 언제 와도 좋네요! 와서 대화하기도 좋고 작업하기도 나쁘지 않아요","분위기감성(긍정)",000000010000
"디저트는 딸기밀푀유디저트 종류가 다양하고 모임하기 좋은 곳 같아요","케이크(긍정), 공간편의시설(긍정)",001000100000
"좋아요 만족스러운 경험이었습니다","대상 모호(없음)",000000000000
"에스프레소 매니아는 행복한 종류별로 산택가능한 다양한 에스프레소와 함께 휴식을 취할수 있는 넓은 공간!","커피음료(긍정), 공간편의시설(긍정)",100000100000
"오전에 일찍가니 넓은 공간에 조용히 커피 음미하기에 좋았다. 건물 너무 이쁨.","커피음료(긍정), 공간편의시설(긍정), 분위기감성(긍정)",100000110000
"네모 라떼랑 버터 쿠키 샌드 먹었는데 진짜 맛있어요","커피음료(긍정), 쿠키구움과자(긍정)",100100000000
"커피점빵일때부터 원두 사서 먹었던 곳 스타일은 그대로네... 라떼를 시켰는데 내 스타일이 아니라서 좀 아쉬웠다","커피음료(중립)",300000000000
"밤라떼가 시중 페이스트 맛이랑 비슷한데 연했어요 밤맛우유","커피음료(중립)",300000000000
"솔티피칸도 맛있고 참외도 맛있고 내부는 아늑하지만 시원해서 좋았아요","기타디저트(긍정), 공간편의시설(긍정), 분위기감성(긍정)",000001110000
"분위기도 좋고 직접 갈아주는 피넛잼이라니 새롭네요. 직원분도 친절하시고 매장도 깔끔하고 분위기 좋네요.","베이커리빵(긍정), 분위기감성(긍정), 서비스(긍정)",010000011000
"모찌에 어울리는 생크림이랑 과일들과 같이 먹을 수 있어서 더 맛있어요... 4층을 사용해서 자리도 넉넉하고 창밖 뷰도 숲뷰라 넘 예쁘고 사진찍기도 좋아요","기타디저트(긍정), 공간편의시설(긍정), 분위기감성(긍정)",000001110000
"케익 맛집이라 일부러 찾아왔는데 진짜 맛있어요","케이크(긍정)",001000000000
"디저트가 맛있어요! 뷰도 너무 좋고 브런치로 아주 만족입니다!!!","베이커리빵(긍정), 기타디저트(긍정), 분위기감성(긍정)",010001010000
"너무너무 맛있고 예쁜 인테리어였어요!!!!","분위기감성(긍정)",000000010000
"가볍게 음료를 즐기에 좋아요","커피음료(긍정)",100000000000
"너무 맛있어요!!!!!! 파삭하고 맛있어서 맨날 생각나는 맛","대상 모호(없음)",000000000000
"연어 샌드위치 맛있어요!!! 음료 종류가 많았으면","커피음료(중립), 베이커리빵(긍정)",310000000000
"커피와 디저트가 맛있고 사장님이 정말 친절하셔서 좋았습니다","커피음료(긍정), 기타디저트(긍정), 서비스(긍정)",100001001000
"공간도 음악도 맛도 너무 좋아오","분위기감성(긍정)",000000010000
"매장 넘 크고 조아용 커피두 점심땐데 후다닥 빨리 나왔어요","커피음료(긍정), 공간편의시설(긍정), 서비스(긍정)",100000101000
"커피도 맛있고, 인테리어도 예뻐서 좋은 거 같아요! 직원분도 친절하셔서 되게되게 좋은 거 같습니다 )","커피음료(긍정), 분위기감성(긍정), 서비스(긍정)",100000011000
"맥주 맛있어요!! 그리고, 누뗄라도 넘 맛있어요","커피음료(긍정), 기타디저트(긍정)",100001000000
"좌석은 부족하고 불편하나 커피 맛집","커피음료(긍정), 공간편의시설(부정)",100000200000
"인테리어 너무 아기자기 하고 귀여워요!! 맛은 말해뭐해 너무너무 맛있었어요 특히 콘치즈스프? 존맛탱!!","베이커리빵(긍정), 분위기감성(긍정)",010000010000
"레몬케이크 넘 퐁신퐁신 달달하고 맛있어요!!! 커피도 연하지않구 진해요! 산미 하나도 없어서 맛있어용!!!!","커피음료(긍정), 케이크(긍정)",101000000000
"아빠 생신케이크로 당근케이크 주문했는데 비쥬얼도 맛도 최고였어요 ! 사장님도 엄청 친절하시고 매장도 깨끗해서","케이크(긍정), 공간편의시설(긍정), 서비스(긍정)",001000101000
"수건케이크랑 지크커피 먹고 왔어요 성수동 안에서 힙하고 분위기 좋은 카페입니다","커피음료(긍정), 케이크(긍정), 분위기감성(긍정)",101000010000
"매장이 아늑하고 음료와 디저트가 맛있었어요!! 바깥 풍경도 볼 수 있고 매장도 사진찍을 스팟이 많았어요","커피음료(긍정), 기타디저트(긍정), 분위기감성(긍정)",100001010000
"어니언은 커피도 맛있고 빵도 맛있고 샌드위치도 맛있어요. 개인적으로 성수점이 가장 좋습니다.","커피음료(긍정), 베이커리빵(긍정)",110000000000
"재밌었어요 다음 방문 땐 다른 그림도 그리고 싶은 욕심이 생기네요","분위기감성(긍정)",000000010000
"딸기라떼가 참 맛있어요. 인테리어가 고즈넉하니 참 예쁘요.","커피음료(긍정), 분위기감성(긍정)",100000010000
"모든 바리스타분들의 친절함과 절제된 동선 덕분에 편안했습니다. 설명해주신 컵노트까지 그대로 느껴져서 신기했구요!","커피음료(긍정), 서비스(긍정)",100000001000
"커피 맛있고 마들렌도 맛있어요!!!","커피음료(긍정), 쿠키구움과자(긍정)",100100000000
"존맛이에오 흑임자라떼 자허블치고","커피음료(긍정)",100000000000
"포틀랜드 감성의 예쁜 카페. 조용한 분위기가 좋고 커피, 디저트도 맛있습니다.","커피음료(긍정), 기타디저트(긍정), 분위기감성(긍정)",100001010000
"생망고 진짜 달아요...! 망고빙수 중 가성비도 좋고 맛도 맛있어요","빙수과일(긍정), 가격가성비(긍정)",000010000100
"애플망고빙수가 엄청 비싸서 놀랐지만 좋아하는 복숭아빙수 너무 맛있고 예쁘고 평일이라 사람도 없어서 너무 조용하고","빙수과일(긍정), 분위기감성(긍정), 가격가성비(부정), 혼잡도_웨이팅(긍정)",000010010201
"아이스크림 진짜 맛있고 절대 이 가격 퀄리티가 아닌 느낌이에요 와인도 다양하고 분위기 있어서 대화하기 좋아용","커피음료(긍정), 기타디저트(긍정), 분위기감성(긍정), 가격가성비(긍정)",100001010100
"커피맛집이네요 에그인힐 손대면 못끊는 맛 맛나요 9시오픈 입성입니다","커피음료(긍정), 베이커리빵(긍정), 혼잡도_웨이팅(긍정)",110000000001
"3층 짜리 매장 되게 넓고 사람도 많아요. 음료도 맛있고 금방금방 나왔어요. 뷰가 너무 좋고","커피음료(긍정), 공간편의시설(긍정), 분위기감성(긍정), 서비스(긍정), 혼잡도_웨이팅(부정)",100000111002
"너무 맛있어요. 분위기도 좋고 친절하셔요","분위기감성(긍정), 서비스(긍정)",000000011000
"카페 분위기 너무 조아용 ) 야외석 있어서 편하고 조으네요","공간편의시설(긍정), 분위기감성(긍정)",000000110000
"인테리어 너무 멋지고 공간도 넓어서 정신없지 않게 친구랑 얘기하기 좋았어요! 블루베리 밤 파이 진짜 너무 너무 맛있어요..","기타디저트(긍정), 공간편의시설(긍정), 분위기감성(긍정)",000001110000
"음료와 디저트로 힐링타임 했어요. 분위기도 좋고 맛도 좋고 친절하기까지 해서 대만족입니다.","커피음료(긍정), 기타디저트(긍정), 분위기감성(긍정), 서비스(긍정)",100001011000
"쿠팡이츠로만 먹다가 처음 와봤어요! 매장 예뻐요 맛은 말모! 맛있음","대상 모호(없음), 분위기감성(긍정)",000000010000
"커피가 맛있고 사장님이 친절해용 케이크도 너무 예뻐서 보는 재미가 있었어요","커피음료(긍정), 케이크(긍정), 서비스(긍정)",101000001000
"아인슈페너 좋아하는 남자친구가 만족했구... 딸기조각케이크!! 진짜 생크림은 덜달고 딸기가 달아서 커피에 먹기 딱 좋아요","커피음료(긍정), 케이크(긍정)",101000000000
"브런치도 맛있고 오렌지 당근 주스가 정말 맛있어요 직원분도 친절하셔서 기분 좋게 식사했습니다 )","커피음료(긍정), 베이커리빵(긍정), 서비스(긍정)",110000001000
"모처럼 아무 생각 없이 집중할 수 있어서 좋았습니다. 다만 도안이 크기 때문에, 기본 제공 시간이 좀 더 넉넉해진다던가, 도안이 좀 작아진다거나 했으면 좋겠어요! 즐거웠습니다","분위기감성(긍정), 서비스(부정)",000000012000
"N번째 방문인데 역시 맛있네용 식빵은 여기가 최고에옹","베이커리빵(긍정)",010000000000
"앞에 17잔 구매한 분 땜에 오래 걸렸지만 편 요","혼잡도_웨이팅(부정)",000000000002
"올리브 크로플 완전 제 취향이에요!!... 그리고 카페가 진짜 힙해서 좋네요","기타디저트(긍정), 분위기감성(긍정)",000001010000
"걷다가 다리가 아파서 들린 곳. 공부나 노트북이 불가한 곳이다보니 좌석이 있어서 다행이었습니다","공간편의시설(긍정)",000000100000
"깔끔하고 와이파이에 콘센트까지 있어서 업무 보면서 차마시기 좋았어요.","공간편의시설(긍정), 분위기감성(긍정)",000000110000
"성수에서 가성비 역시나 좋은 메가커피! 음료도 빠르게 나와요!!","커피음료(긍정), 서비스(긍정), 가격가성비(긍정)",100000001100
"베이글 종류도 많고 다른 베이글 집에 비해 가격대도 나름 괜찮았습니다! 갈릭퐁당 소스와 안에 든 필링이 너무 맛있었습니다!","베이커리빵(긍정), 가격가성비(긍정)",010000000100
"겉은 바삭하고 속은 촉촉한 것이, 매우 고소하고 맛있어요. 이런 타르트 처음 먹어봐요.","기타디저트(긍정)",000001000000
"스벅티라미수에 초 꽂았어요 스벅은 갈수록 케잌이 맛없어지는 느낌 제발 동물성생크림 비율 좀 높이고 덜달게 만들면 좋겠어요","케이크(부정)",002000000000
"케이크 너무 예쁘고 만족스러워요 담에 또 이용할게요!!","케이크(긍정)",001000000000
"깔끔한 커피와 맛있는 디저트가 많은 곳 재방문 의사 100","커피음료(긍정), 기타디저트(긍정)",100001000000
"테라스에서 맛있는 브런치를 즐길 수 있어요!","베이커리빵(긍정), 공간편의시설(긍정)",010000100000
"완존 맛있용 담엔 블루베리 먹을게용","대상 모호(없음)",000000000000
"다른 음료들도 맛있구 가게가 아늑하고 분위기 좋아요","커피음료(긍정), 분위기감성(긍정)",100000010000
"너무맛있고 좋았어요 행복합니다","대상 모호(없음)",000000000000
"케이크 받고 너무 예뻐서 광광 울었어요... 너무 예쁘고 맛있고 감동이구","케이크(긍정)",001000000000
"맘모스빵 시키삼. 두번 시키삼. 맛있음. 딸기크림 카우 브레드는 설명에는 크림이 쏟아진다고 하지만 전혀 그렇지 않았고 빵도 질겨요.","베이커리빵(중립)",030000000000
"케이크랑 커피가 맛있었고 시원하고 넓어서 좋았어요!","커피음료(긍정), 케이크(긍정), 공간편의시설(긍정)",101000100000
"역시 유명한건 잠봉뵈르고, 카운터에 있는분 응대는 쫌 불친절하네욯","베이커리빵(긍정), 서비스(부정)",010000002000
"빵이 다 맛있어보여서 포장까지 했더니 또 밥 보다 비싸짐 근데 진짜 너무 다 맛있고 분위기도 좋고 커피도 진하니 좋았어요) 서울숲 너무 멀지만 못먹은거 먹으러 또오고싶네요. 라우겐크로아상 꼭 드세요!!","커피음료(긍정), 베이커리빵(긍정), 분위기감성(긍정), 가격가성비(부정)",110000010200
"케이크가 맛있어요. 진짜 최고. 네모라떼는 달콩하고 커피도 나쁘지 않아요. 가격대는 좀 있지만 위치 생각하면 적당하고, 그 값을 해요","커피음료(긍정), 케이크(긍정), 가격가성비(중립)",101000000300
"가족과 함께 즐거운 시간 보냈어요. 곰돌이 케이크가 특히 인상적이었어요 개귀여움","케이크(긍정)",001000000000
"어떤 커피가 어떤 농장에서... 섬세하고 친절하게 설명해주신 도슨트님과 바리스타님께 감사드립니다 아 ! 체험중 내려주시는 커피도 정말 맛있게 먹었습니다","커피음료(긍정), 서비스(긍정)",100000001000
"갔을 때 만석일 정도로 사람이 많고... 수플레 말해 뭐합니까 비주얼부터 압권입니다... 분위기도 좋고 사진도 잘 나와서 좋습니다!!","기타디저트(긍정), 분위기감성(긍정), 혼잡도_웨이팅(중립)",000001010003
"커피도맛있고 분위기도좋고 친절해요","커피음료(긍정), 분위기감성(긍정), 서비스(긍정)",100000011000
"뵈르니 케이크 덕분에 행복한 기념일 보냈습니다! 정말 세상 화려하고 예뻐서 기념일뿐만 아니라 웨딩케익으로 써도 좋을 거 같아요.","케이크(긍정)",001000000000
"직원분도 너무 친절하시고 빵도 너무 맛있어요!! 다음에 또 올게요 감사합니다!!","베이커리빵(긍정), 서비스(긍정)",010000001000
"성수 브런치식당으로 탑인거 같아요 여기!!!... 음식 나오는 속도도 빠르고 좋았습니다 다만 가실땐 예약하고 가는걸 추천 드려요!! 그리고 이정도면 가성비도 착한거 같네요","베이커리빵(긍정), 서비스(긍정), 가격가성비(긍정), 혼잡도_웨이팅(중립)",010000001103
"유명한 소금빵 줄서서 샀어요. 바로 먹었는데. 바삭하지는 않고 버터가 많이 들어간 맛이네요.","베이커리빵(중립), 혼잡도_웨이팅(부정)",030000000002
"잘 마셨어용 크루키 맛있어요","쿠키구움과자(긍정)",000100000000
"커피람 디저트도 맛밌고 너무 귀며문 카페!","커피음료(긍정), 기타디저트(긍정), 분위기감성(긍정)",100001010000
"다 맛있어 보여서 다 사고싶었지만 예산 부족으로 기본 에그타르트... 페스츄리 같은 반죽이 먹기엔 좀 불편했어요 근데 맛은 부드럽고 기가막히네요!","쿠키구움과자(긍정), 가격가성비(부정), 선물포장(긍정)",000100000210
"항상줄서있는 식빵집 큰맘먹고 줄섰어요","베이커리빵(긍정), 혼잡도_웨이팅(부정)",010000000002
"딱 일본 현지의 맛있는 빵 맛이에요... 사장님이며 직원분들 다 너무 친절하시구... 주위 감사한 분들 선물하기에도 좋은 가격이고, 맛있는 만큼 또 빵들이 예뻐서 더 좋은 거 같아요.","베이커리빵(긍정), 서비스(긍정), 가격가성비(긍정), 선물포장(긍정)",010000001110
"분위기도 좋고 매장도 꽤 넓어용 데이트로 딱","공간편의시설(긍정), 분위기감성(긍정)",000000110000
"대기 13팀 있었는데 주변 둘러보고 오니까 금방 차례 왔어요 !!... 복숭아빙수 다른 곳에서도 복숭아빙수 먹어봤는데 여기가 훨씬 맛있는 것 같아요","빙수과일(긍정), 혼잡도_웨이팅(중립)",000010000003
"커피랑 허니브레드 먹는데 아!! 역시 밥 배랑 디저트 배가 따로 있구나를 느꼈어요!!... 커피랑 같이 먹으니깐 행복한 맛이에요","커피음료(긍정), 베이커리빵(긍정)",110000000000
"카페 분위기도 좋고 음악도 잔잔하니 연인이랑 대화하기 좋고 젤라또를 차가운 잔에 주는 디테일도 좋아요","기타디저트(긍정), 분위기감성(긍정)",000001010000
"아이맥 포토존도 신박하고... 무엇보다 딸기크럼블치즈케이크 이거 왜이렇게 맛있나요..?","케이크(긍정), 분위기감성(긍정)",001000010000
"Glen Orange 상큼한 오렌지에 위스키향이 은은하게 퍼지는 소르베. 도수는 있지만 부담 없이 즐길 수 있어요.","기타디저트(긍정), 분위기감성(긍정)",000001010000
"매장도 넓고 케이크랑 커피 다 맛있어요 다음에 또 올게요","커피음료(긍정), 케이크(긍정), 공간편의시설(긍정)",101000100000
"복숭아 생크림 케이크는 촉촉한 시트 사이에 달콤하고 상큼한 복숭아가 풍성하게 들어있어 입안 가득 여름이 퍼지는 느낌이었고... 아이스아메리카노는 산미와 고소함의 균형이 잘 잡혀 디저트와 궁합이 좋았고","커피음료(긍정), 케이크(긍정)",101000000000
"전체적으로 완전 만족 음식도 맛있고 분위기도 좋았어요. 최근 다요트 시작했는데 여기는 메뉴 구성이 좋더라고요.","베이커리빵(긍정), 분위기감성(긍정)",010000010000
"팥도 부드럽고 떡도 많이 들어있고 우유맛 진하게 나는 빙수도 너무 맛있었용!!","빙수과일(긍정)",000010000000
"식빵이 맛있어 보여 사러왔어요. 아침 일찍 문열어서 좋아요","베이커리빵(긍정), 서비스(긍정)",010000001000
"맛있어용 웨이팅 없이 들어와서 더위 식히기도 좋았어용","공간편의시설(긍정), 혼잡도_웨이팅(긍정)",000000100001
"친절하고 아늑한 느낌 좋아요","분위기감성(긍정), 서비스(긍정)",000000011000
"엄청 핫해서 찾아온 젤라또집인데요..와 진짜 맛있어여... 완전 강추!","기타디저트(긍정)",000001000000
"음료맛은 쏘쏘 구경할 게 많음","커피음료(중립), 분위기감성(긍정)",300000010000
"동네 카페맛집 인정입니다... 자주 이용해요","대상 모호(없음)",000000000000
"디저트가 정말 훌륭해요. 커피 원두도 산미가 적어서 디저트와 잘 어울리네요. 시그니처 케이크인 블랑 꼭 드세요","커피음료(긍정), 케이크(긍정)",101000000000
"차도 따뜻하니 좋고 어퍼룸밀크는 크림이 퐁실퐁실하니 맛있었어요 굳굳","커피음료(긍정)",100000000000
"커피맛이 너무 좋더라고요 브라우니도 넘 맛있고 베이글 수제크림치즈 최고에요... 사장님 잘생겼는데 친절하시고","커피음료(긍정), 베이커리빵(긍정), 쿠키구움과자(긍정), 서비스(긍정)",110100001000
