text,aspect,classification_method
커피도 맛있고 생긴지 얼마 안됐는지 전체적으로 깔끔했어요.,"Dessert/Bakery, Coffee/Drink",keyword
"방탄소년단 뷔 데뷔 11주년 기념 전시회
카페 다녀왔어요
귀여운 곰돌이 케잌 넘 이뻐요","Vibe, Coffee/Drink",keyword
방탄소년단 뷔 카페 이벤트로 방문하게 되었는데 야외 좌석도 있고 안에도 넓고 너무 좋아요!,"Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
직원들도 너무 친절했습니다.,"Service, Dessert/Bakery, Coffee/Drink",keyword
😀 안에도 들어가니 태형이로 가득 꾸며져있어서 너무나 행복💜 태태 사랑해🥰 음료는 보라에이드 마셨는데 색깔도 이쁘고 맛있었어요.,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
매장이 넓고 깨끗하고 분위기도 좋았어요,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
"매장도 진짜크고 인테리어도 너무 예뻐요:)
오늘은 날씨가 너무 좋아서 야외 그늘테이블에 앉아서 편히쉬다가요
성수에 이렇게 예쁜카페가있는지 몰랐어요","Service, Vibe, Coffee/Drink",keyword
가켝이 헙리적인듯 서울 카페치고는~~~,Coffee/Drink,keyword
성수동 카페거리에 신상 대형카페가 생겨서 갔는데 분위기도 좋고 깨끗하고 넓어서 좋았어요.,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
음료도 맛있었고 아포가토 카스테라는 진짜 맛있으니 주문해보세요.,"Service, Dessert/Bakery, Coffee/Drink",keyword
커피는 잘 부우셔야 돼요.,"Dessert/Bakery, Coffee/Drink",keyword
대관도 하고 아이돌생파이벤트도 한다고해서 재방문 예정이에요.,"Service, Dessert/Bakery, Coffee/Drink",keyword
성수역 3출구에서 11분거리 있는 아이돌 생일카페인 B DAY 에 다녀왔는데요,"Position, Vibe, Coffee/Drink",keyword
성수동에 새로 오픈한 카페이며 카페 외관부터 청량한 느낌이 들어서 정말 이쁘더라구요,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
입구로 들어가면 왼쪽과 오른쪽으로 공간이 구분되있고 내부가 넓은 편이에요,"Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
전체적으로 화이트톤으로 된 느낌이며 의자가 포인트를 준 느낌이라는 점이죠,Vibe,keyword
"천장부분이 유리로 되있어 자연광이 들어와서 포토존으로 쓰기도 좋고 전신거울도
있어 사진찍기도 좋았어요","Vibe, Coffee/Drink",keyword
"커피를 비롯하여 라떼, 스무디 ,티, 주스,케이크, 와플, 빵 등의 다양한 메뉴가 있네요","Dessert/Bakery, Coffee/Drink, Vibe",keyword
직원분이 친절하게 물어봐주시고 더운날에 방문했는데 물도 따로 주셔서 고마웠어요,"Service, Dessert/Bakery, Coffee/Drink",keyword
저희는 아이스아메리카노랑 애플망고빙수를 시켰는데 시즌별로 바뀐다고 하더라구요,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
우유얼음이 시원하면서 달달한 애플망고가 씹히는 맛!!,"Dessert/Bakery, Coffee/Drink",keyword
카페 너무 예뻐요!,"Vibe, Coffee/Drink",keyword
우연히 왔는데 진짜 카페 찐으로 예뻐요.,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
대관하면 너무 좋을 것 같아요!,"Dessert/Bakery, Coffee/Drink",keyword
디저트도 맛있고 커피도 맛있네요,"Dessert/Bakery, Coffee/Drink",keyword
사진도 엄청 잘 나와요,Coffee/Drink,keyword
완전 강추해요,"Dessert/Bakery, Coffee/Drink",keyword
새로 생긴 거 같아서 가봤는데 인테리어가 엄청 하얗고 깔끔했어요!!!,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
천장에 창문이 있는데 날씨 좋은 날 와서 그런가 액자 같고 예뻤어요,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
콜드브루 마셨구 살짝 산미 도는게 완전 제취향🥹🥹 안에 남자아이돌 이벤트를 하고 있더라구용,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
야외공간도 넓고 해서 이벤트 같은 거 하기 좋아보였어요ㅋㅋㅋ,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
손님이 많았는데 커피가 엄청 빨리 나와서 너무 잘 마시고 갑니다,Coffee/Drink,keyword
💓 번창하세용!,"Dessert/Bakery, Coffee/Drink",keyword
제베원 컴백 기념 카페!,Coffee/Drink,keyword
너무 예쁨ㅠㅠㅠㅠㅠㅠㅠㅠ,Vibe,keyword
생카도 여기서 해주세여,"Dessert/Bakery, Coffee/Drink",keyword
너무 예쁜 카페에요!,"Vibe, Coffee/Drink",keyword
커피도 맛있고 분위기도 좋았습니다.,"Vibe, Coffee/Drink",keyword
직원분들 너무 친절~ 😻,Service,keyword
분위기 좋고 성수동 분좋카 에요,Vibe,keyword
디저트들 스콘 다 맛있어요 ㅎㅎ,Dessert/Bakery,keyword
프렌치 토스트 넘 맛있고 스콘도 맛있어요ㅠㅠ!!,Dessert/Bakery,keyword
위에 앉을 곳이 따로 있고 넓어요,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
인테리어도 넘 예쁘네요,Vibe,keyword
영국감성을 그대로 성수동에서 느낄 수 있는 유일한 공간인 헨리스플랏!!!,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
"맛있고 특별한 프렌치토스트를 맛볼 수 있다고 해서 찾아온 성수 브런치 카페 헨리스플랏인데요, 스콘도 정말 맛있어서 추천 드리고 싶어요.","Dessert/Bakery, Coffee/Drink, Vibe",keyword
"다른 베이커리류도 아침에 구워 나와서 정말 먹음직스러웠는데요, 혼자 다 못먹는게 아쉬울정도더라고요.",Coffee/Drink,keyword
"같이 곁들인 커피도 정말 고소하고 깊이감이 있어서 맛있고요, 사실 인테리어가 너무 예뻐요.","Vibe, Coffee/Drink",keyword
따뜻하고 포근한 감성이 있어서 다가오는 크리스마스에도 여기 생각날것 같아요!!,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
너무 맛있게 즐겁게 즐기다가 왔어요.,"Dessert/Bakery, Coffee/Drink",keyword
인테리어에 공들이느라 커피는 종이컵에 주시는 곳!,"Vibe, Coffee/Drink",keyword
제대로된 스콘이 너무 먹고싶어 일부러 검색해서 찾아왔다.,"Dessert/Bakery, Coffee/Drink",keyword
골목골목 안쪽에 조용한 곳에 멋드러진?,"Position, Dessert/Bakery, Coffee/Drink, Vibe",keyword
독특한 외관과 영국국기가 맛에 대한 기대를 잔뜩 올린다.,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
"스콘은 평범하고 뜨거운 커피를 종이컵에 준다.
ㅠㅠ","Dessert/Bakery, Coffee/Drink",keyword
5천500원이나 냈는데 이건모 믹스커피도 아닌데.,Coffee/Drink,keyword
5.5천원이 큰돈은 아니나...,"Service, Coffee/Drink, Price",keyword
식음하는 기분이 전혀안남.,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
배경음악도 경쾌한 팝이 흘러나오는데 고전적인 인테리어랑 약간 미스매칭되는 느낌.,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
스콘은 평범하나 이것도 데우거나 접시에 주지않음.,"Dessert/Bakery, Coffee/Drink",keyword
잼과 버터가 녹을까봐 데우지 못해서 평범한 맛인지도...,"Dessert/Bakery, Coffee/Drink",keyword
암튼 재방문각은 아니나 조용한 곳이 필요하면 찾게될지도.,"Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
공간이 집을 개조해서 방마다 테이블이 한두개밖에 없다.,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
프렌치토스트 진짜 퀄리티 미쳤네요.,Dessert/Bakery,keyword
크림브륄레처럼 겉면이 파삭해서 기분 좋고 속은 촉촉해요♡,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
와 이렇게 퀄 좋은 단호박스프를 카페에서 먹는게 말이 돼?! ㅋㅋㅋㅋ,Coffee/Drink,keyword
진짜 여기 요리 잘하는 듯~~,"Dessert/Bakery, Coffee/Drink",keyword
겉바속촉 프렌치토스트 대박 맛있어요!,Dessert/Bakery,keyword
무화과랑 함께 먹으니까 최고네요.,Coffee/Drink,keyword
"👍🏻
디저트 메뉴 정말 다양한데 하나하나 다 맛보고 싶어요.","Dessert/Bakery, Coffee/Drink",keyword
그리고 인테리어 대박!,Vibe,keyword
고개를 돌리는 곳마다 포토존이에요.,Vibe,keyword
성수 올 때마다 꼭 들려야겠어요.,"Dessert/Bakery, Coffee/Drink",keyword
브런치로 프렌치토스트 + 수프+ 아멜카노 조합 환상적!,"Dessert/Bakery, Vibe",keyword
일단 분위기 넘 감성적이고 예뻐서 아이들도 좋아할것 같아요,"Dessert/Bakery, Vibe",keyword
나즁에 조카데리고 오려고요,"Dessert/Bakery, Coffee/Drink",keyword
클래식 프렌치토스트가 너무 맛있어요 ♥,Dessert/Bakery,keyword
분위기가 너무 좋아요~~!,Vibe,keyword
"디저트맛집
인테리어가 너무이뻐요ㅎㅎㅎ","Dessert/Bakery, Vibe",keyword
또올게요,"Dessert/Bakery, Coffee/Drink",keyword
"커피 음료 디저트 모두 만족^^
자두에이드는 넘 달지 않아 좋고
아보카도 토스트는 건강한 맛~
오픈한지 얼마 안되서 그런지
카페도 깨끗하고^^
여기저기 안 예쁜곳이
없네요..","Price, Dessert/Bakery, Coffee/Drink, Vibe",keyword
사장님도 넘 친절요~,Service,keyword
카페가 너무 예쁘고 디저트도 너무 맛있어요ㅠㅠ♡♡,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
전부터 너무나 와보고싶었던 곳이에요!,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
연휴에 시간이 딱 맞아서 방문했는데 역시 기대한만큼 예쁘군뇨,"Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
🫢 매장 전체가 거대한 포토존같음..,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
죵말 예쁘고요🫶🏻 커피랑 베이커리도 생각보다 저렴해서 놀랐어요 성수동에 이런 규모와 인테리어에 가성비까지..?,"Price, Dessert/Bakery, Coffee/Drink, Vibe",keyword
저만 알고싶은데 흑흑 아주 조금만 유명해졌으면 좋겠어요,"Dessert/Bakery, Coffee/Drink",keyword
성수 카페 헨리스플랏!,Coffee/Drink,keyword
프렌치토스트 맛집이라는 소문을듣고 방문해봤습니당>_<,"Service, Dessert/Bakery, Coffee/Drink",keyword
살살녹는 겉바속촉 프렌치토스트와 푸딩스콘이 너무너무 맛있었던...,Dessert/Bakery,keyword
❤️ 영국 가정집 느낌의 카페 인테리어도 너무 이뻐서 곳곳이 다 포토존이고 사진도 너무 잘나옵니다!!!,"Vibe, Coffee/Drink",keyword
성수 카페로 추천해요,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
토스트 넘 맛있고 포장해온 푸딩스콘도 색다르고 맛있었어요✨,"Dessert/Bakery, Coffee/Drink, Price",keyword
직장이근처라서 왔는데 분위기 너무 좋아요,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
영국식,Vibe,keyword
"지난 크리스마스때 오고 오랜만에 방문했는데, 여전히 인테리어가 너무 이뻐요.","Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
그때보다 디저트 종류가 더 다양해졌어요.,"Dessert/Bakery, Coffee/Drink",keyword
프렌치토스트 이번 신메뉴라 시켜봤는데 너무 이쁜데 너무 맛있어요.,"Dessert/Bakery, Vibe",keyword
가까우면 자주 오고 싶어요!,"Dessert/Bakery, Coffee/Drink",keyword
분위기가 좋은데 너무 외진 곳에 있어 접근성이 약간 떨어지는 점이 아쉽네요,"Position, Vibe, Coffee/Drink",keyword
ㅋㅋㅋ 카페서 먹은 건 찍지도 못하고 포장해서 사온 스콘!!!,"Dessert/Bakery, Coffee/Drink, Price",keyword
카페 분위기가 너~~~무 예뻐요,"Vibe, Coffee/Drink",keyword
😍 커피랑 디저트도 넘 맛있고 디저트 종류가 다양해서 좋아요~!!,"Dessert/Bakery, Coffee/Drink",keyword
남자친구분들 여기서 여자친구분 인생샷 찍어주세요,Vibe,keyword
공간이 너무 예쁨,Vibe,keyword
"스튜디오 그자체
평일 방문 기준 여유로웠음",Service,keyword
잠시나마 런던 여행온 느낌 💕💕,"Dessert/Bakery, Coffee/Drink",keyword
"너무 와보고 싶었던 곳이였는데 와보니
생각했던 것 보다 너무 예뻐요","Dessert/Bakery, Coffee/Drink, Vibe",keyword
"공간도 넓어
혼자서도 친구랑도 단체로도 너무 좋을 것 같아요","Dessert/Bakery, Vibe",keyword
"커피도 고소하니 맛있고 디저트들이
정말 최고에요~~","Dessert/Bakery, Coffee/Drink",keyword
"카페도 예쁘고 영국 여행온느낌:) 
커피도 디저트도 맛있어요","Dessert/Bakery, Coffee/Drink, Vibe",keyword
힐링하러 오기 딱 좋은 예쁜카페,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
"저 초코에 소금 올라간 휘낭시에가
 진짜 맛있어요 !",Dessert/Bakery,keyword
겉은 바삭하고 속은 촉촉하니 휘낭시에의 정석을 먹는듯한 느낌이라추천합니다요!!,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
카페 분위기도 좋고 조용해서 너무 좋습니다,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
영국가정식 인테리어가 밝고 편안한 느낌을 주는 예쁜 까페에요~,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
플랫화이트 커피 진하고 맛있어서 순삭이네요^^,Coffee/Drink,keyword
추가로 티를 더 마셨답니다 ㅎㅎ,"Vibe, Coffee/Drink",keyword
분위기 완전 영국이에요🇬🇧,Vibe,keyword
"1층, 2층으로 매장이 매우 넓어요.",Vibe,keyword
그리고 디저트도 완전 맛있어요..!!,Dessert/Bakery,keyword
휘낭시에 셈라 전부 최고에요!!,Dessert/Bakery,keyword
다음에 스콘도 먹어보려고요.,"Dessert/Bakery, Coffee/Drink",keyword
"분위기 좋은 곳에서 맛있는 디저트,, 최고입니다","Dessert/Bakery, Vibe",keyword
디저트도 맛있고 영국 감성 낭낭하게 나서 넘 좋았습니다!,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
성수동에 이렇게 쾌적한 곳 찾기 힘든데 잘 놀다가용 ~!,"Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
성수에 위치한 영국 느낌의 분위기 좋은 카페에요.,"Position, Dessert/Bakery, Coffee/Drink, Vibe",keyword
디저트 라인업도 다양하고 모두 맛있어요.,"Dessert/Bakery, Coffee/Drink",keyword
특히 셈라를 강력 추천합니다.,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
커피도 달달하고 맛있어서 완벽한 카페에요~,"Dessert/Bakery, Coffee/Drink",keyword
"영국 가정집 느낌 제대로~ 이국적인 인테리어, 편안한 분위기와 배경 음악도 감미롭고 좋아요.","Dessert/Bakery, Coffee/Drink, Vibe",keyword
"커피랑 음료, 디저트도 정말 맛있네요 :)","Dessert/Bakery, Coffee/Drink",keyword
"셈라 처음 먹어 봤는데, 특히 커스터드 셈라가 별미입니다~~","Dessert/Bakery, Coffee/Drink",keyword
"부드럽고 적당한 달콤한 크림, 담백한 빵, 바삭한 시리얼과 같은 과자랑 넘 잘어울려요.","Dessert/Bakery, Coffee/Drink",keyword
빵이 부드럽고 크림도 느끼하지않은 진짜 맛있는 크림이라 좋았어요!ㅎㅎ,Dessert/Bakery,keyword
너무 분위기도 좋고 귀여운 카페에요~~,"Vibe, Coffee/Drink",keyword
"휘낭시에랑 샘라 디저트 다 맛있고
시그니처인 헨리라떼도 크림이 달달하니 너무 맛있네요!",Dessert/Bakery,keyword
디저트 먹으러 자주 방문할 것 같아요,"Service, Dessert/Bakery, Coffee/Drink",keyword
라떼 연하게 시켰는데 너무 꼬소하고 달달해요,"Dessert/Bakery, Coffee/Drink",keyword
셈라에 그래놀라 뿌려먹으니 진짜 대존맛!!,"Dessert/Bakery, Coffee/Drink",keyword
근데 인테리어 구경하느라 시간 가는 줄 모릅니닿ㅎ,"Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
나중에 친구들 데려오고 싶어요,Vibe,keyword
"💗 
다른 맛의 셈라도, 소금번도!",Dessert/Bakery,keyword
에그스콘.?..,Dessert/Bakery,keyword
"도 엄청 맛있게 생겼던데
다음에 도장깨기 하러 오겟음","Dessert/Bakery, Coffee/Drink",keyword
"말돈소금초코휘낭시에 , 헨리라떼 추천해요!","Dessert/Bakery, Coffee/Drink, Vibe",keyword
😀 휘낭시에에 초콜렛 코팅이 되어있는데 초코부분이 완전 빠삭!,"Vibe, Coffee/Drink",keyword
하고 소금의 짭잘한 맛이랑도 넘 잘어울려요,"Dessert/Bakery, Coffee/Drink",keyword
헨리라떼 달달하니 맛있네요,Coffee/Drink,keyword
사진찍을만한곳들도 넘 많아서 좋아요!,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
지난 번에 먹었던 셈라 먹고 싶어서 다시 왔어요!!!,"Dessert/Bakery, Coffee/Drink",keyword
제가 예쁜 데 갔다왔다고 친구한테 자랑하니깐 친구도 가보고 싶다고 해서 이번엔 함께 왔는데 친구도 예쁘다고 좋아하구 공간도 좋고 맛있어서 다음에 또 오기로 했습니닷,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
올 때마다 넘 좋네용:),"Dessert/Bakery, Coffee/Drink",keyword
커스터드 셈라 진짜 완전 추천합니다,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
👍🏻👍🏻어쩜 이렇게 맛있냐를 연발하며 먹었네요,"Dessert/Bakery, Coffee/Drink",keyword
🥹 공간도 1-2층 전부 예쁘게 꾸며져 있어서 아주 훌륭하고용… 머물다 갈 맛이 나는 곳입니다,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
음료 특이하고 맛있었어요!,"Dessert/Bakery, Coffee/Drink",keyword
"1층, 2층 있어서 넓고 대화하기 좋아요!","Dessert/Bakery, Coffee/Drink, Vibe",keyword
카페도 이쁘게 꾸며져있어요~!,"Vibe, Coffee/Drink",keyword
이쁜 사진 많이 찍고 갑니당~,Vibe,keyword
성수의 이렇게 분위기 좋고 런던 느낌 물씬나는 카페가 생겼다니!!!!,"Vibe, Coffee/Drink",keyword
2층까지 테이블도 많아 자리도 충분하고 눈길닿는 구석구성 눈호강이에요,"Dessert/Bakery, Coffee/Drink",keyword
🧡 알려지면 웨이팅있을거같은데 아직 신상카페라 소문나기전에 와서 다행이에요.,"Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
휘낭시에들 크고맛있구 셈라는 대체뭘까 궁금했는데 그래놀라랑 커스타드크림과 생크림이 섞여서 달콤한 고급스러운 디저트였네요.,"Service, Dessert/Bakery, Coffee/Drink",keyword
커피도 찐하고 맛있네요.,Coffee/Drink,keyword
와 진짜 성수에 이런 대형카페가...!,Coffee/Drink,keyword
주택개조 카페같은데 진짜 크구,"Service, Dessert/Bakery, Coffee/Drink",keyword
"넘 저아요
그리고 여기만 있는 디저트같은데 셈라 맛있어요","Dessert/Bakery, Coffee/Drink, Vibe",keyword
성수카페 분위기도 좋고 맛도 좋아요.,"Vibe, Coffee/Drink",keyword
커피도 맛있고 휘낭시에와 스콘 모두 맛있는데 특히 셈라가 최고였답니다,"Dessert/Bakery, Coffee/Drink",keyword
성수동에 위치한 영국 감성 카페인 헨리스플랏 방문했어요!!,"Vibe, Service, Position, Coffee/Drink, Dessert/Bakery",keyword
분위기가 유럽의 영국을 연상케하는 따듯한 분위기고 좌석도 넉넉해서 좋더라구요 ㅎㅎ,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
"디저트로 스콘, 셈라 시켜먹었는데
달콤하면서 부드러운게 넘 맛났어요","Dessert/Bakery, Coffee/Drink, Vibe",keyword
그리구 밀크티 진짜 맛있네요,Coffee/Drink,keyword
인테리어가 너무 예쁜 카페예요.,"Vibe, Coffee/Drink",keyword
"성수역에서 조금 떨어져있지만
빵도 맛있고 1.2층 좌석도 넓고, 포토존도 있고
대화하기 좋아요","Dessert/Bakery, Coffee/Drink, Vibe",keyword
성수동카페로 가기 좋은 느좋카페에요 !,"Vibe, Coffee/Drink",keyword
"디저트도 다양하게 있고 
건물 외관부터 내부까지
영국 가정집 분위기를 느낄 수 있는
소품부터 인테리어가 정말 예뻤어요","Dessert/Bakery, Coffee/Drink, Vibe",keyword
"크림가득한 셈라, 겉바속촉 휘낭시에
버터풍미가 느껴지는 스콘과
촉촉 부드러운 번까지 다양하게 먹어봤는데
하나 같이 다 맛있었어요ㅎ","Dessert/Bakery, Coffee/Drink",keyword
디저트도 맛있고 카페 넘 예뻐요!,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
성수역 근처 디저트맛집 찾다가 발견한 곳..★☆,"Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
"스콘, 휘낭시에, 번 등 디저트가 다양한데다 셈라라는 특이한 디저트가 있어서 이것도 먹어봤어요!","Dessert/Bakery, Coffee/Drink, Vibe",keyword
가나슈 셈라라서 시트 사이에 가나슈 초콜릿과 휘핑크림이 샌딩되어 있고 크럼블도 뿌려먹을 수 있어서 특이했던 디저트예요.,"Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
셈라 종류가 진짜 많던데,Dessert/Bakery,keyword
다음에는 카스테라 셈라도 먹어보려고요..,"Dessert/Bakery, Coffee/Drink",keyword
"가게도 B1카운터부터 1,2층까지 있어서 넓고 편하게 앉아서 쉬다가기 좋았어요!","Vibe, Coffee/Drink",keyword
유럽풍 인테리어도 예쁘고 분위기도 차분하니 감성 가득이에요 ㅠㅠ,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
디저트 종류도 다양한데 하나하나 다 맛있고 분위기가 좋아서 데이트하기에도 딱이에요 ..,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
🤍 셈라라는 디저트는 처음 먹어보는데 너무 맛있어서 앞으로 먹으러 자주 오려구요 ㅎㅎㅎ,"Dessert/Bakery, Coffee/Drink",keyword
여기 디저트 카페 진짜 귀여워요!!!,"Dessert/Bakery, Coffee/Drink",keyword
"🐻💕 곰돌이 모양 디저트가 너무너무 귀엽고, 2층 분위기도 완전 좋고 아늑해요~","Dessert/Bakery, Coffee/Drink, Vibe",keyword
"디저트도 맛있고, 녹두 앙버터 꼭 먹어봐야 해요!!","Dessert/Bakery, Coffee/Drink",keyword
😊✨ 다음에 또 가고 싶은 카페예요!!,Coffee/Drink,keyword
빵 종류도 다양하고 셈라는 처음 먹어보는데 맛있어요.,"Dessert/Bakery, Coffee/Drink",keyword
카페 분위기도 좋고 포토존이 있어서 사진 찍기도 좋아요.,"Vibe, Coffee/Drink",keyword
성수 신상 카페찾다가 발견했는데 영국바이브 느낄수 있을 것 같아서 방문했어요.,"Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
성수동에 큰 카페는 별로 없는데 여기는 생각보다 카페규모가 큽니다,"Service, Coffee/Drink",keyword
"😍 번으로 만든 디저트, 스콘, 휘낭시에 진짜 넘 맛있구요 포토존도 많아서 여기저기 사진찍어도 넘 예쁘게 나와요~","Dessert/Bakery, Coffee/Drink, Vibe",keyword
간만에 마음에 드는 카페 발견해서 기분좋습니당,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
"맛있는 디저트와 커피가있는이곳
성수 원픽입니다","Dessert/Bakery, Coffee/Drink, Vibe",keyword
성수동 골목에 이런 공간이 있다니!,"Position, Vibe, Coffee/Drink",keyword
너무 예뻐요,Vibe,keyword
"디저트도 맛있고요 :)
집 앞 최애 카페 등극!","Dessert/Bakery, Coffee/Drink, Vibe",keyword
진짜 분위기 좋고 셈라 너무 맛있어요!!,"Dessert/Bakery, Vibe",keyword
새로 오픈해서 인테리어가 완전 세련됨 ㅠㅠ,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
"성수에서 영국식 디저트가 먹고 싶어서 방문했는데, 너무 잘 찾아온 것 같아용!","Service, Dessert/Bakery, Coffee/Drink",keyword
직원분들도 친절하고 디저트와 음료도 너무 맛있어서 성수에 다시 온다면 재방문할 것 같아요.,"Service, Dessert/Bakery, Coffee/Drink",keyword
성수동 데이트 중에 방문했는데 2층 규모 대형 카페고 인테리어도 예뻐서 좋은 시간보냈습니다!,"Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
디저트도 다른 곳에서 찾기 어려운 셈라 같은 디저트가 있어서 유니크했어요.,"Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
셈라는 이번에 처음 먹어봤는데 맛있더라구요,"Dessert/Bakery, Coffee/Drink",keyword
😋 성수동 데이트 카페로 완전 추천합니당,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
영국스타일의 카페입니다.,"Vibe, Coffee/Drink",keyword
건물외관부터 느껴지시죠?,Vibe,keyword
성수역 3번 출구를 따라 골목골목 걸으니 곰돌이 벽이 딱 보이더라고요.,"Position, Coffee/Drink",keyword
경수중학교 정문에서 100m가 안되니 1분이면 바로 카페입니다.,Coffee/Drink,keyword
오픈시간에 도착을 했는데 갓구운 디저트들이 나오고 있었어요.,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
"저는 휘낭시에, 블루베리잼 스톤, 아메리아노 주문했어요.","Service, Dessert/Bakery, Coffee/Drink",keyword
"매장은 깔끔, 청결해서 좋았고 소품 하나하나와 매장 인테리어가 잘 어울려서 카페에 있는 시간 동안 행복했어요.","Dessert/Bakery, Coffee/Drink, Vibe",keyword
"커피도 맛있고 스콘도 촉촉하고 부드러워서 먹기 편했어요. ""헨리스 플랏""","Dessert/Bakery, Coffee/Drink",keyword
영국 느낌 유럽 느낌 낭낭한 예쁜 카페에요!,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
이렇게 예쁜 카페가 생기다니 넘 좋네용....!,"Vibe, Coffee/Drink",keyword
와중에 빵들도 다 맛있답니닷,Dessert/Bakery,keyword
특히 바스번이랑 스콘이 맛있어요!!!!,Dessert/Bakery,keyword
"영국도 맛잘알 국가였다,,",Vibe,keyword
"인테리어만 보러 가도 좋은 곳
디저트는 못 먹어봤는데 라테는 좀 애매한 맛입니다","Dessert/Bakery, Coffee/Drink, Vibe",keyword
분위기도 좋고 너무 맛있어요!,Vibe,keyword
영국 여행 온거 같은 아늑한 분위기라 너무 좋아요.,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
빵 냄새도 좋고 맛있는 빵도 정말 많네요 ㅎㅎ,Dessert/Bakery,keyword
카스테라 + 크림 조화 최고!!,Dessert/Bakery,keyword
성수 느좋 카페 🫶😆😆,Coffee/Drink,keyword
스콘!,Dessert/Bakery,keyword
먹고 포장하고 이동!!,"Dessert/Bakery, Coffee/Drink, Price",keyword
다시 찾아갈 수 있을까? ㅋㅋ,"Vibe, Coffee/Drink",keyword
성수동에서 이쁜카페 찾다가왔는데 인테리어도 너무 이쁘고 좌석도 편해요!,"Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
디저트 종류도 다양하고 많아서 추천합니다,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
👍👍 주택개조카페라 분위기 완전좋아요,"Vibe, Coffee/Drink",keyword
❣️ 사진찍기에도 좋은 카페입니다 :),Coffee/Drink,keyword
인테리어가 미쳤어요 ㅠㅠㅠㅠㅠ,Vibe,keyword
"작은 소품 하나하나 다 너무 귀엽고 카페에 
사장님의 마음이 느껴집니다","Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
"🥰
음료와 베이커리도 너무 맛있었고 
사진 백만장 찍고 가요",Coffee/Drink,keyword
다양한 디저트가 있어요,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
"커피도 맛있고 공간이
너무 예쁘네요","Vibe, Coffee/Drink",keyword
빵과 커피가 너무 맛있어서 재방문하고 싶은 곳입니다,"Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
카페도 크고 영국가정집 스타일 컨셉이라 아늑해요,"Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
